#Altium Designer Pick and Place Locations,,,,,,,,,
#C:\Users\Steven\Dropbox\MAGE\Node\Node PCB Designs\Project Outputs for Node\Pick Place\Pick Place for Node.csv,,,,,,,,,
,,,,,,,,,
#========================================================================================================================,,,,,,,,,
#File Design Information:,,,,,,,,,
,,,,,,,,,
#Date:       07/10/17,,,,,,,,,
#Time:       14:36,,,,,,,,,
#Revision:   Not in VersionControl,,,,,,,,,
#Variant:    No variations,,,,,,,,,
#Units used: mil,,,,,,,,,
,,,,,,,,,
#Designator,Center-X(mil),Center-Y(mil),Rotation,Layer,Type,Xsize,Ysize,Value,Footprint
C44,-425.196,944.882,360,Bottom,1,,,1pF,CAPC0402(1005)33_L
C45,-625.985,263.779,360,Bottom,1,,,10uF,CAPC0402(1005)60_L
C46,-195.867,349.409,180,Bottom,1,,,1uF,CAPC0402(1005)60_L
C47,-129.922,716.535,180,Bottom,1,,,20pF,CAPC0402(1005)60_L
C48,-346.456,787.402,180,Bottom,1,,,1pF,CAPC0402(1005)33_L
C49,-716.535,629.921,180,Bottom,1,,,20pF,CAPC0402(1005)60_L
C5,-641.732,149.607,180,Bottom,1,,,100nF,CAPC0402(1005)60_L
C50,-779.527,326.772,360,Bottom,1,,,20pF,CAPC0402(1005)60_L
C51,-3.938,921.26,90,Bottom,1,,,0.1pF,CAPC0402(1005)33_L
C52,-192.913,692.914,180,Top,1,,,100nF,CAPC0402(1005)60_L
C53,145.67,-287.402,90,Bottom,1,,,100nF,CAPC0402(1005)60_L
C54,-1003.936,358.268,90,Bottom,1,,,1uF,CAPC0402(1005)60_L
C55,-940.944,543.308,270,Bottom,1,,,100nF,CAPC0402(1005)60_L
C56,51.182,-661.418,90,Bottom,1,,,100nF,CAPC0402(1005)60_L
C57,574.803,-82.678,90,Bottom,1,,,100nF,CAPC0402(1005)60_L
C58,503.938,-98.425,180,Bottom,1,,,100nF,CAPC0402(1005)60_L
C59,-248.031,-763.779,180,Bottom,1,,,100nF,CAPC0402(1005)60_L
C6,-287.402,74.802,360,Top,1,,,100nF,CAPC0402(1005)60_L
C60,-960.63,106.3,90,Bottom,1,,,100nF,CAPC0402(1005)60_L
C61,-307.086,-771.654,90,Bottom,1,,,10uF,CAPC0402(1005)60_L
C62,-157.481,-759.842,180,Bottom,1,,,100nF,CAPC0402(1005)60_L
C63,901.574,-763.78,90,Top,1,,,1pF,CAPC0402(1005)33_L
C64,-570.866,-267.717,270,Bottom,1,,,100nF,CAPC0402(1005)60_L
C65,519.685,-165.354,270,Bottom,1,,,100nF,CAPC0402(1005)60_L
C66,866.141,-763.779,90,Top,1,,,1pF,CAPC0402(1005)33_L
C67,3.937,66.929,90,Bottom,1,,,100nF,CAPC0402(1005)60_L
C68,-82.677,-157.48,180,Bottom,1,,,100nF,CAPC0402(1005)60_L
C69,-59.056,-15.748,270,Bottom,1,,,100nF,CAPC0402(1005)60_L
C7,-385.827,795.276,180,Top,1,,,1uF,CAPC0402(1005)60_L
C70,0.001,-43.307,270,Bottom,1,,,100nF,CAPC0402(1005)60_L
C72,78.74,-224.41,180,Bottom,1,,,100nF,CAPC0402(1005)60_L
C73,153.543,-216.536,360,Bottom,1,,,100nF,CAPC0402(1005)60_L
C74,47.244,7.873,360,Bottom,1,,,100nF,CAPC0402(1005)60_L
C8,-653.544,157.48,90,Top,1,,,20pF,CAPC0402(1005)60_L
C82,-614.174,196.851,360,Bottom,1,,,20pF,CAPC0402(1005)60_L
C83,799.212,-118.11,180,Top,1,,,100nF,CAPC0402(1005)60_L
C84,799.212,-82.676,180,Top,1,,,100nF,CAPC0402(1005)60_L
C85,-307.086,122.047,270,Bottom,1,,,20pF,CAPC0402(1005)60_L
C86,-118.111,-263.78,90,Top,1,,,20pF,CAPC0402(1005)60_L
C87,200.788,-224.409,180,Top,1,,,100nF,CAPC0402(1005)60_L
C88,90.551,-279.527,180,Top,1,,,20pF,CAPC0402(1005)60_L
C89,-204.725,-299.212,90,Bottom,1,,,20pF,CAPC0402(1005)60_L
C9,-55.118,795.276,90,Top,1,,,100nF,CAPC0402(1005)60_L
C90,-240.157,-299.212,270,Bottom,1,,,20pF,CAPC0402(1005)60_L
C91,515.749,846.457,180,Bottom,1,,,2.2uF,CAPC0402(1005)60_L
C92,515.749,811.023,180,Bottom,1,,,10uF,CAPC0402(1005)60_L
C93,531.496,740.157,180,Bottom,1,,,2.2uF,CAPC0402(1005)60_L
C94,531.496,775.591,180,Bottom,1,,,10uF,CAPC0402(1005)60_L
C95,531.496,704.725,180,Bottom,1,,,2.2uF,CAPC0402(1005)60_L
C96,531.496,669.29,180,Bottom,1,,,10uF,CAPC0402(1005)60_L
C97,236.221,610.237,360,Bottom,1,,,2.2uF,CAPC0402(1005)60_L
C98,437.008,881.89,180,Bottom,1,,,10uF,CAPC0402(1005)60_L
C99,343.647,535.433,90,Bottom,1,,,2.2uF,CAPC0402(1005)60_L
CC1,-413.385,488.189,270,Bottom,1,,,CC2650F128RGZ,RGZ48-4100X4100TP
D11,836.278,836.278,144,Top,1,,,SFH-4645,SFH-4645
D12,-1181.102,-192.913,288,Top,1,,,SFH-4645,SFH-4645
D5,-188.09,-1187.557,0,Top,1,,,SFH-4645,SFH-4645
D8,-545.86,1071.311,216,Top,1,,,SFH-4645,SFH-4645
D9,1092.649,-452.59,72,Top,1,,,SFH-4645,SFH-4645
DS1,-645.669,70.865,360,Top,1,,,LTST-C190GKT_V,LTST-C190GKT_V
DS2,-645.67,23.621,360,Top,1,,,LTST-C190GKT_V,LTST-C190GKT_V
DS3,153.543,-797.652,90,Top,1,,,LTST-C190GKT_V,LTST-C190GKT_V
DS4,204.725,-797.652,90,Top,1,,,LTST-C190GKT_V,LTST-C190GKT_V
DS5,255.907,-797.652,90,Top,1,,,LTST-C190GKT_V,LTST-C190GKT_V
F1,1043.307,578.74,108,Bottom,1,,,LFUS-1812L050_V,LFUS-1812L050_V
F2,-472.441,-696.851,360,Bottom,1,,,LFUS-1812L11033MR_V,LFUS-1812L11033MR_V
FB1,854.331,-527.56,90,Top,1,,,MURA-BLM18-RF-H4-CHIP-2_V,MURA-BLM18-RF-H4-CHIP-2_V
FB2,980.067,-708.661,360,Top,1,,,MURA-BLM18-RF-H4-CHIP-2_V,MURA-BLM18-RF-H4-CHIP-2_V
FB3,149.606,-251.969,270,Top,1,,,MURA-BLM18-RF-H4-CHIP-2_V,MURA-BLM18-RF-H4-CHIP-2_V
J1,203.472,-613.523,306,Bottom,1,,,SMTC-SMM-110-02-X-S-LC,SMTC-SMM-110-02-X-S-LC
J2,1089.718,266.399,288,Bottom,1,,,FCI-10103594-0001LF_V,FCI-10103594-0001LF_V
J3,-731.618,-853.897,144,Bottom,1,,,FCI-10103594-0001LF_V,FCI-10103594-0001LF_V
J4,746.411,-658.203,216,Bottom,1,,,HIROSE_DM3AT-SF-PEJM5,HIROSE_DM3AT-SF-PEJM5
J5,-160.925,982.776,90,Bottom,1,,,MS-156HF,MS-156HF
J6,843.645,639.272,180,Bottom,1,,,HRS-U.FL-R-SMT_V,HRS-U.FL-R-SMT_V
J7,840.493,-150.701,306,Bottom,1,,,SMTC-SMM-110-02-X-S-LC,SMTC-SMM-110-02-X-S-LC
J8,843.646,486.713,180,Bottom,1,,,MS-156HF,MS-156HF
L1,570.866,-460.63,360,Top,1,,,TAYO-IND0315_V,TAYO-IND0315_V
L10,685.039,433.07,270,Bottom,1,,,COIL-1008CS_V,COIL-1008CS_V
L2,759.843,-685.039,360,Top,1,,,TAYO-IND0315_V,TAYO-IND0315_V
L4,-425.197,787.402,360,Bottom,1,,,MURA-IND0402_V,MURA-IND0402_V
L5,-535.433,274.216,360,Bottom,1,,,TDK-IND0805-125_V,TDK-IND0805-125_V
L6,-366.142,925.197,270,Bottom,1,,,MURA-IND0402_V,MURA-IND0402_V
L7,-326.772,964.567,270,Bottom,1,,,MURA-IND0402_V,MURA-IND0402_V
L8,-366.142,846.457,270,Bottom,1,,,MURA-IND0402_V,MURA-IND0402_V
L9,661.417,566.929,180,Bottom,1,,,COIL-1008CS_V,COIL-1008CS_V
LS1,-551.181,-452.755,90,Bottom,1,,,CMT-4023S-SMT,CMT-4023S-SMT
P1,-99.802,522.048,270,Bottom,2,,,MHDR2X5,MHDR2X5
P11,444.882,464.567,270,Top,2,,,B2B-PH-K-S,B2B-PH-K-S
P2,-131.497,-843.898,180,Top,2,,,MHDR2X5,MHDR2X5
P3,137.795,881.891,360,Bottom,2,,,B2B-PH-K-S,B2B-PH-K-S
P4,-652.165,-172.048,270,Top,2,,,MHDR2X3,MHDR2X3
P5,-275.59,-433.07,360,Top,2,,,B2B-PH-K-S,B2B-PH-K-S
P7,-972.44,-59.055,360,Top,2,,,B2B-PH-K-S,B2B-PH-K-S
Q1,-811.024,-169.292,270,Top,1,,,Si2333CDS-T1-GE3,DIOD-SOT23-3_V
Q2,649.606,271.654,270,Top,1,,,Si2333CDS-T1-GE3,DIOD-SOT23-3_V
Q3,488.189,271.654,90,Top,1,,,Si2333CDS-T1-GE3,DIOD-SOT23-3_V
Q4,586.614,-330.709,180,Top,1,,,Si2333CDS-T1-GE3,DIOD-SOT23-3_V
Q5,-787.401,-35.433,90,Bottom,1,,,BSS138,FAIR-SOT23-3_V
Q6,-818.898,-228.346,90,Bottom,1,,,BSS138,FAIR-SOT23-3_V
Q7,-744.094,-452.756,360,Bottom,1,,,BC846BLT1,ONSC-SOT-23-3-318-08_V
Q8,948.818,-255.905,360,Top,1,,,Si2333CDS-T1-GE3,DIOD-SOT23-3_V
Q9,807.087,-293.131,360,Top,1,,,Si2333CDS-T1-GE3,DIOD-SOT23-3_V
R1,-200.787,622.048,180,Bottom,1,,,100000.00 Ohm,RESC0402(1005)_L
R10,-811.024,-82.678,180,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R11,-724.409,70.865,180,Top,1,,,1000.00 Ohm,RESC0402(1005)_L
R12,-409.448,-161.416,360,Top,1,,,1000.00 Ohm,RESC0402(1005)_L
R13,-724.41,23.621,180,Top,1,,,1000.00 Ohm,RESC0402(1005)_L
R14,-618.11,-15.748,180,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R15,1015.748,-602.363,360,Top,1,,,10000.00 Ohm,RESC0402(1005)_L
R16,1015.748,-637.796,360,Top,1,,,100000.00 Ohm,RESC0402(1005)_L
R17,114.173,-602.363,180,Top,1,,,470.00 Ohm,RESC0402(1005)_L
